>Eukarya (Plant Species)
Abrus precatorius	Abrus_precatorius_trna.fa
Acer yangbiense	Acer_yangbiense_trna.fa
Actinidia rufa	Actinidia_rufa_trna.fa
Aegilops tauschii	Aegilops_tauschii_trna.fa
Amborella trichopoda	Amborella_trichopoda_trna.fa
Ananas comosus	Ananas_comosus_trna.fa
Apium graveolens	Apium_graveolens_trna.fa
Apostasia shenzhenica	Apostasia_shenzhenica_trna.fa
Aquilegia coerulea	Aquilegia_coerulea_trna.fa
Arabidopsis lyrata	Arabidopsis_lyrata_trna.fa
Arabidopsis suecica	Arabidopsis_suecica_trna.fa
Arabidopsis thaliana	Arabidopsis_thaliana_trna.fa
Arabidopsis thaliana x Arabidopsis arenosa	Arabidopsis_thaliana_x_Arabidopsis_arenosa_trna.fa
Arabis nemorensis	Arabis_nemorensis_trna.fa
Arachis duranensis	Arachis_duranensis_trna.fa
Arachis hypogaea	Arachis_hypogaea_trna.fa
Arachis ipaensis	Arachis_ipaensis_trna.fa
Aristolochia fimbriata	Aristolochia_fimbriata_trna.fa
Asparagus officinalis	Asparagus_officinalis_trna.fa
Astrephomene gubernaculifera	Astrephomene_gubernaculifera_trna.fa
Auxenochlorella protothecoides	Auxenochlorella_protothecoides_trna.fa
Bathycoccus prasinos	Bathycoccus_prasinos_trna.fa
Benincasa hispida	Benincasa_hispida_trna.fa
Beta vulgaris	Beta_vulgaris_trna.fa
Brachypodium distachyon	Brachypodium_distachyon_trna.fa
Brassica carinata	Brassica_carinata_trna.fa
Brassica cretica	Brassica_cretica_trna.fa
Brassica napus	Brassica_napus_trna.fa
Brassica oleracea	Brassica_oleracea_trna.fa
Brassica rapa	Brassica_rapa_trna.fa
Buddleja alternifolia	Buddleja_alternifolia_trna.fa
Cajanus cajan	Cajanus_cajan_trna.fa
Camelina sativa	Camelina_sativa_trna.fa
Camellia sinensis	Camellia_sinensis_trna.fa
Cannabis sativa	Cannabis_sativa_trna.fa
Capsella rubella	Capsella_rubella_trna.fa
Capsicum annuum	Capsicum_annuum_trna.fa
Capsicum baccatum	Capsicum_baccatum_trna.fa
Capsicum chinense	Capsicum_chinense_trna.fa
Carex littledalei	Carex_littledalei_trna.fa
Carica papaya	Carica_papaya_trna.fa
Carpinus fangiana	Carpinus_fangiana_trna.fa
Carya illinoinensis	Carya_illinoinensis_trna.fa
Cephalotus follicularis	Cephalotus_follicularis_trna.fa
Ceratodon purpureus	Ceratodon_purpureus_trna.fa
Ceratopteris richardii	Ceratopteris_richardii_trna.fa
Chara braunii	Chara_braunii_trna.fa
Chenopodium quinoa	Chenopodium_quinoa_trna.fa
Chlamydomonas eustigma	Chlamydomonas_eustigma_trna.fa
Chlamydomonas incerta	Chlamydomonas_incerta_trna.fa
Chlamydomonas reinhardtii	Chlamydomonas_reinhardtii_trna.fa
Chlamydomonas schloesseri	Chlamydomonas_schloesseri_trna.fa
Chlorella variabilis	Chlorella_variabilis_trna.fa
Chloropicon primus	Chloropicon_primus_trna.fa
Chondrus crispus	Chondrus_crispus_trna.fa
Cicer arietinum	Cicer_arietinum_trna.fa
Cinnamomum micranthum f. kanehirae	Cinnamomum_micranthum_f._kanehirae_trna.fa
Citrus clementina	Citrus_clementina_trna.fa
Citrus sinensis	Citrus_sinensis_trna.fa
Citrus unshiu	Citrus_unshiu_trna.fa
Coccomyxa subellipsoidea C-169	Coccomyxa_subellipsoidea_C-169_trna.fa
Coccomyxa subellipsoidea	Coccomyxa_subellipsoidea_trna.fa
Coffea arabica	Coffea_arabica_trna.fa
Coffea canephora	Coffea_canephora_trna.fa
Coffea eugenioides	Coffea_eugenioides_trna.fa
Coptis chinensis	Coptis_chinensis_trna.fa
Corchorus capsularis	Corchorus_capsularis_trna.fa
Corchorus olitorius	Corchorus_olitorius_trna.fa
Corymbia citriodora subsp. variegata	Corymbia_citriodora_subsp._variegata_trna.fa
Cucumis melo	Cucumis_melo_trna.fa
Cucumis sativus	Cucumis_sativus_trna.fa
Cucurbita argyrosperma	Cucurbita_argyrosperma_trna.fa
Cucurbita maxima	Cucurbita_maxima_trna.fa
Cucurbita moschata	Cucurbita_moschata_trna.fa
Cucurbita pepo	Cucurbita_pepo_trna.fa
Cuscuta australis	Cuscuta_australis_trna.fa
Cuscuta campestris	Cuscuta_campestris_trna.fa
Cyanidioschyzon merolae	Cyanidioschyzon_merolae_trna.fa
Cynara cardunculus var. scolymus	Cynara_cardunculus_var._scolymus_trna.fa
Datura stramonium	Datura_stramonium_trna.fa
Daucus carota	Daucus_carota_trna.fa
Dendrobium catenatum	Dendrobium_catenatum_trna.fa
Dendrobium chrysotoxum	Dendrobium_chrysotoxum_trna.fa
Dichanthelium oligosanthes	Dichanthelium_oligosanthes_trna.fa
Digitaria exilis	Digitaria_exilis_trna.fa
Dioscorea alata	Dioscorea_alata_trna.fa
Dioscorea cayenensis subsp. rotundata	Dioscorea_cayenensis_subsp._rotundata_trna.fa
Dorcoceras hygrometricum	Dorcoceras_hygrometricum_trna.fa
Dunaliella salina	Dunaliella_salina_trna.fa
Durio zibethinus	Durio_zibethinus_trna.fa
Edaphochlamys debaryana	Edaphochlamys_debaryana_trna.fa
Elaeis guineensis	Elaeis_guineensis_trna.fa
Eleusine coracana subsp. coracana	Eleusine_coracana_subsp._coracana_trna.fa
Ensete ventricosum	Ensete_ventricosum_trna.fa
Eragrostis curvula	Eragrostis_curvula_trna.fa
Erigeron canadensis	Erigeron_canadensis_trna.fa
Erythranthe guttata	Erythranthe_guttata_trna.fa
Eucalyptus grandis	Eucalyptus_grandis_trna.fa
Eutrema salsugineum	Eutrema_salsugineum_trna.fa
Fragaria vesca	Fragaria_vesca_trna.fa
Galdieria sulphuraria	Galdieria_sulphuraria_trna.fa
Genlisea aurea	Genlisea_aurea_trna.fa
Glycine max	Glycine_max_trna.fa
Glycine soja	Glycine_soja_trna.fa
Gonium pectorale	Gonium_pectorale_trna.fa
Gossypium anomalum	Gossypium_anomalum_trna.fa
Gossypium arboreum	Gossypium_arboreum_trna.fa
Gossypium aridum	Gossypium_aridum_trna.fa
Gossypium armourianum	Gossypium_armourianum_trna.fa
Gossypium australe	Gossypium_australe_trna.fa
Gossypium darwinii	Gossypium_darwinii_trna.fa
Gossypium davidsonii	Gossypium_davidsonii_trna.fa
Gossypium gossypioides	Gossypium_gossypioides_trna.fa
Gossypium harknessii	Gossypium_harknessii_trna.fa
Gossypium hirsutum	Gossypium_hirsutum_trna.fa
Gossypium klotzschianum	Gossypium_klotzschianum_trna.fa
Gossypium laxum	Gossypium_laxum_trna.fa
Gossypium lobatum	Gossypium_lobatum_trna.fa
Gossypium raimondii	Gossypium_raimondii_trna.fa
Gossypium schwendimanii	Gossypium_schwendimanii_trna.fa
Gossypium stocksii	Gossypium_stocksii_trna.fa
Gossypium trilobum	Gossypium_trilobum_trna.fa
Handroanthus impetiginosus	Handroanthus_impetiginosus_trna.fa
Helianthus annuus	Helianthus_annuus_trna.fa
Herrania umbratica	Herrania_umbratica_trna.fa
Hevea brasiliensis	Hevea_brasiliensis_trna.fa
Hibiscus syriacus	Hibiscus_syriacus_trna.fa
Hordeum vulgare subsp. vulgare	Hordeum_vulgare_subsp._vulgare_trna.fa
Ipomoea nil	Ipomoea_nil_trna.fa
Ipomoea triloba	Ipomoea_triloba_trna.fa
Jatropha curcas	Jatropha_curcas_trna.fa
Juglans microcarpa x Juglans regia	Juglans_microcarpa_x_Juglans_regia_trna.fa
Juglans regia	Juglans_regia_trna.fa
Kingdonia uniflora	Kingdonia_uniflora_trna.fa
Klebsormidium nitens	Klebsormidium_nitens_trna.fa
Lactuca saligna	Lactuca_saligna_trna.fa
Lactuca sativa	Lactuca_sativa_trna.fa
Lithospermum erythrorhizon	Lithospermum_erythrorhizon_trna.fa
Lupinus albus	Lupinus_albus_trna.fa
Lupinus angustifolius	Lupinus_angustifolius_trna.fa
Macadamia integrifolia	Macadamia_integrifolia_trna.fa
Macleaya cordata	Macleaya_cordata_trna.fa
Malus baccata	Malus_baccata_trna.fa
Malus domestica	Malus_domestica_trna.fa
Mangifera indica	Mangifera_indica_trna.fa
Manihot esculenta	Manihot_esculenta_trna.fa
Marchantia paleacea	Marchantia_paleacea_trna.fa
Marchantia polymorpha	Marchantia_polymorpha_trna.fa
Medicago truncatula	Medicago_truncatula_trna.fa
Micractinium conductrix	Micractinium_conductrix_trna.fa
Micromonas commoda	Micromonas_commoda_trna.fa
Micromonas pusilla CCMP1545	Micromonas_pusilla_CCMP1545_trna.fa
Micromonas pusilla	Micromonas_pusilla_trna.fa
Microthlaspi erraticum	Microthlaspi_erraticum_trna.fa
Mikania micrantha	Mikania_micrantha_trna.fa
Miscanthus lutarioriparius	Miscanthus_lutarioriparius_trna.fa
Momordica charantia	Momordica_charantia_trna.fa
Monoraphidium neglectum	Monoraphidium_neglectum_trna.fa
Morella rubra	Morella_rubra_trna.fa
Morus notabilis	Morus_notabilis_trna.fa
Mucuna pruriens	Mucuna_pruriens_trna.fa
Musa acuminata	Musa_acuminata_trna.fa
Musa balbisiana	Musa_balbisiana_trna.fa
Nelumbo nucifera	Nelumbo_nucifera_trna.fa
Nicotiana attenuata	Nicotiana_attenuata_trna.fa
Nicotiana sylvestris	Nicotiana_sylvestris_trna.fa
Nicotiana tabacum	Nicotiana_tabacum_trna.fa
Nicotiana tomentosiformis	Nicotiana_tomentosiformis_trna.fa
Nymphaea colorata	Nymphaea_colorata_trna.fa
Nymphaea thermarum	Nymphaea_thermarum_trna.fa
Nyssa sinensis	Nyssa_sinensis_trna.fa
Olea europaea	Olea_europaea_trna.fa
Oryza brachyantha	Oryza_brachyantha_trna.fa
Oryza sativa Japonica	Oryza_sativa_Japonica_trna.fa
